1
2
3
4
5
6
7
8
I
II
III
IV
V
VI
VII
VIII
a
b
c
d
e
Discantus
Upper Voice
Contratenor
Superius/Discantus
Tenor
Bassus
Lower Voice
Altus/Contratenor
Altus
Discantus/Altus/Tenor
Discantus-Bassus
Quintus/Sextus
Tenor/Bassus
Sextus
Canto
Medius
Triplex
Quintus
Discantus 1
Discantus 2
Altus 1
Altus 2
Tenor 1
Tenor 2
Bassus 1
Bassus 2
Tiple
Tenore
Basso
C
A
B
T
E
H
Q
S
i
D
Prima Vox
Secunda Vox
Tertia Vox
Quarta Vox
part 1
part 2
part I
