id,MS name,siglum,archive,shelfmark,other names,part
2773,Zwickau,D-Z,Ratsschulbibliothek,"MS 81,1 ",Weihnachtsliederbuch des Cornelius Freundt,"Discantus, Altus, Tenor, Bassus"
2774,Zwickau,D-Z,Ratsschulbibliothek,"MS 81,2 ",,"Discantus, Tenor, Bassus"
2776,Zwickau,D-Z,Ratsschulbibliothek,"MS 86,2 ",,"Altus, Bassus"
2777,Zwickau,D-Z,Ratsschulbibliothek,"MS 86,3 ",,"Discantus, Altus, Tenor"
2778,Zwickau,D-Z,Ratsschulbibliothek,MS 92 ,,"Discantus, Altus, Tenor, Bassus"
2779,Zwickau,D-Z,Ratsschulbibliothek,"MS 94,1 ",,"Altus, Tenor"
2781,Zwickau,D-Z,Ratsschulbibliothek,"MS 96,1",,
2782,Zwickau,D-Z,Ratsschulbibliothek,"MS 97,1 ",,"Discantus, Bassus, Quintus"
2784,Zwickau,D-Z,Ratsschulbibliothek,"MS 100,4",,
2785,Zwickau,D-Z,Ratsschulbibliothek,"MS 100,5",,
2786,Zwickau,D-Z,Ratsschulbibliothek,"MS 103,3",,
2787,Zwickau,D-Z,Ratsschulbibliothek,"MS 106,5 ",Octo Tonorum Melodiae of Thomas Stoltzer,Discantus
2788,Ansbach,D-AN,Staatliche Bibliothek,VI.g.15,,
2789,Ansbach,D-AN,Staatliche Bibliothek,VI.g.16,,
2790,Ansbach,D-AN,Staatliche Bibliothek,VI.g.18,,
2791,Ansbach,D-AN,Staatliche Bibliothek,VI.g.27,,
2792,Antwerp,B-Amp,"Museum Plantin-Moretus, Bibliotheek",MS M18.13 (fragment 3),,
2797,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.63 Diskant,,
2799,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.20,,
2800,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.21,,
2801,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.22,,
2802,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.23 ,,D
2803,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.24 ,,A
2804,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.27 ,,B
2805,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.26 ,,T
2806,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.IV.25 ,,Q
2807,Berkeley,US-BE,University Library,MS 121,,
2809,Berlin,D-Bga,Geheimes Staatsarchiv - Preußischer Kulturbesitz ,MS XX. HA StUB Königsberg Nr. 7,,
2813,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 b,,
2814,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 c,,
2815,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 d,,
2816,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 e,,
2817,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 f,,
2818,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 g,,
2819,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.VI.26 h,,
2824,Berlin,D-B,Staatsbibliothek zu Berlin - Preußischer Kulturbesitz,Mus. Ant. Theor. 30,,
2828,Budapest,H-Bn,Országos Széchényi Könyvtár (National Széchényi Library),MS Bártfa Mus.Pr.6 ,,"a, b, c, d"
2829,Bologna,I-Bsp,Archivio Musicale di S Petronio,MS A.XXXV,,
2831,Bologna,I-Bsp,Archivio Musicale di S Petronio,MS A.XXXXIII,,
2833,Budapest,H-Bn,Országos Széchényi Könyvtár (National Széchényi Library),MS Bártfa Mus.Pr.4 ,,"a, b, c, d"
2854,Český Krumlov,CZ-K,Státní Archiv Třeboň - Pobočka Český Krumlov,Prelátské Knihovny III S 17.1/391,,
2855,Český Krumlov,CZ-K,Státní Archiv Třeboň - Pobočka Český Krumlov,Prelátské Knihovny III S 17.2/391,,
2856,Český Krumlov,CZ-K,Státní Archiv Třeboň - Pobočka Český Krumlov,Kaplanské Knihovny 179,MS Kaplanské Knihovny 179,
2857,Civitanova Marche,I-CNM,Biblioteca Comunale Silvio Zavatti,s.s. ,,2
2858,Cologne,D-KNu,Universitäts- und Stadtbibliothek,MS GB III 57 ,,part I
2860,Dublin,IRL-Dtc,Trinity College Library,MS 412,St. Andrews Psalter or Wode Partbooks,
2883,Edinburgh,GB-Eu,University Library,MS La III. 483 ,St. Andrews Psalter or Wode Partbooks,"a, b, c"
2886,Edinburgh,GB-Eu,University Library,MS Dk.5.14,St. Andrews Psalter or Wode Partbooks,
2887,Edinburgh,GB-Eu,University Library,MS Dk.5.15,St. Andrews Psalter or Wode Partbooks,
2888,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.100,,
2889,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.101,,
2890,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.102,,
2891,Oxford,GB-Occ,Corpus Christi College,MS 566,,
2892,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.123,,
2893,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.124,,
2894,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.125,,
2895,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.165,,
2896,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.166,,
2897,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS Magl. XIX.167,,
2899,Oxford,GB-Occ,Corpus Christi College,MS 118,,
2900,Florence (Firenze),I-Fd,"Duomo, Archivio Musicale dell'Opera di Santa Maria del Fiore",MS 49,,
2902,Florence (Firenze),I-Fsl,Archivio di San Lorenzo,MS N,,
2903,Florence (Firenze),I-Fsl,Archivio di San Lorenzo,MS O,,
2909,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XLI,,
2910,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XLII,,
2911,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XLIII/2,,
2912,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XCIV,,
2913,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XCV,,
2914,Heilbronn,D-HBa,"Stadtarchiv, Musiksammlung",MS XCVI/3,,
2916,Herdringen,G-HRD,"Schloss Fürstenberg, Bibliothek",9822,,
2917,Herdringen,G-HRD,"Schloss Fürstenberg, Bibliothek",9823,,
2922,Cambrai,F-CA,Mediathèque Municipale,MS 126,,
2923,Cambrai,F-CA,Mediathèque Municipale,MS 127,,
2924,Cambrai,F-CA,Mediathèque Municipale,MS 128,,
2925,Innsbruck,A-Iu,Universitätsbibliothek,732,,
2926,Ipswich,GB-Ir,Suffolk Record Office,HA 3:50/9/15.7,,1
2928,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 9/2,,
2929,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 9/3,,
2930,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 9/4,,
2931,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 9/5,,
2932,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 24/2,,
2933,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 24/3,,
2934,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 24/4,,
2935,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 38/2,,
2936,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 38/3,,
2937,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 38/4,,
2938,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 38/5,,
2939,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 38/6,,
2940,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 43/2,,
2941,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 43/3,,
2942,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 43/4,,
2943,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 91/2,,
2944,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 91/3,,
2945,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 91/4,,
2946,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 91/5,,
2947,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 94/2,,
2948,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 94/3,,
2949,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 94/4,,
2950,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 118/2,,
2951,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 118/3,,
2952,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 118/4,,
2953,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 142/2,,
2954,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 142/3,,
2955,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 143/2,,
2956,Herdringen,G-HRD,"Schloss Fürstenberg, Bibliothek",9821,,
2957,Linz,A-Lls (A-Llb),Oberösterreichische Landesbibliothek,529,,
2982,London,GB-Lbl,British Library,Add. MS 30481,Hammond Partbooks,
2983,London,GB-Lbl,British Library,Add. MS 30482,Hammond Partbooks,
2984,London,GB-Lbl,British Library,Add. MS 30483,Hammond Partbooks,
2985,London,GB-Lbl,British Library,Add. MS 30484,Hammond Partbooks,
3009,London,GB-Lbl,British Library,[pr. bk.] Music Library K. 4. f. 5 ,,"Discantus, Altus, Tenor, Bassus"
3010,London,GB-Lbl,British Library,[pr. bk.] Music Library K. 4. g. 3 ,,"Discantus, Altus, Tenor, Bassus"
3013,London,GB-Lbl,British Library,Royal Appendix 59,,
3014,London,GB-Lbl,British Library,Royal Appendix 60,,
3015,London,GB-Lbl,British Library,Royal Appendix 61,,
3016,London,GB-Lbl,British Library,Royal Appendix 62,,
3017,London,GB-Lpro,The National Archives,"Chancer Master's Exhibits, Duchess of Norfolk Deeds C 115/K.2/6684",,
3019,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-1,,
3020,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-2,,
3021,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-3,,
3022,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-5,,
3023,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-9,,
3024,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 29775-11,,
3026,Oporto,P-Pm,Biblioteca Pública Municipale,40,,
3032,Padua,I-Psa,Basilica di Sant' Antonio,s.s. ,,2
3033,Cividale del Friuli,I-CFm,Museo Archeologico Nazionale,Cod. XXIV,,
3034,Prague,CZ-Pnm,Narodni muzeum,MS IV H 64 ,,"Tenor, Bassus"
3035,Prague,CZ-Ps,"Pamatnik Narodniho Pisemnictvi, Strahovska Knihova",MS D.A.II.3,,
3040,Prague,CZ-Pu,Universitni Knihovna,MS XI B 1 ,,"Discantus, Altus, Tenor, Bassus"
3045,Rome,I-Rsld,San Lorenzo in Damaso. Registri Amministrativi e Corali della Capella Musicale,"Armadio IV, Vol. 12",,
3046,Rome,I-Rsld,San Lorenzo in Damaso. Registri Amministrativi e Corali della Capella Musicale,"Armadio IV, Vol. 13",,
3068,Oxford,GB-Och,Christ Church,E.7.33,,
3072,Oxford,GB-Obnc,Brasenose College,251-142,,
3073,London,GB-Lbl,British Library,Harley 4848,,
3077,Budapest,H-Bn,Országos Széchényi Könyvtár (National Széchényi Library),MS Bártfa Mus.Pr.8 ,,"a, b, c"
3106,Kraków,PL-Kpa,Archiwum Panstwowym Miasta Krakowa i Województwa Krakowskiego (State Archives of the Town and Province of Kraków),MS D29,,
3107,Kraków,PL-Kpa,Archiwum Panstwowym Miasta Krakowa i Województwa Krakowskiego (State Archives of the Town and Province of Kraków),MS D30,,
3108,Kraków,PL-Kpa,Archiwum Panstwowym Miasta Krakowa i Województwa Krakowskiego (State Archives of the Town and Province of Kraków),MS D31,,
3112,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.33,,
3113,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.34,,
3114,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.35,,
3115,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.60,,
3116,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.61,,
3117,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.62,,
3118,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.2,,
3119,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.3,,
3120,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.4,,
3121,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.6,,
3122,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.7,,
3123,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.8,,
3124,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.9,,
3125,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.18,,
3126,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.19,,
3127,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.20,,
3128,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.23,,
3129,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.24,,
3130,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.X.26,,
3132,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.25b,,
3133,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.25c,,
3134,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.25d,,
3135,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.25e,,
3146,Bologna,I-Bsp,Archivio Musicale di S Petronio,MS A.XXXVII,,
3147,"Cambridge, Mass.",US-HAhl,Harvard University Houghton Library,MS Typ 194,,
3148,London,GB-Lbl,British Library,Royal Appendix 56,,
3187,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS II.III.438,,
3188,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS II.III.439,,
3189,Florence (Firenze),I-Fn,Biblioteca Nazionale Centrale,MS II.III.440,,
3225,Rome,I-Rvat,Biblioteca Apostolica Vaticana,MS Pal. lat. 1977,,
3226,Rome,I-Rvat,Biblioteca Apostolica Vaticana,MS Pal. lat. 1978,,
3227,Rome,I-Rvat,Biblioteca Apostolica Vaticana,MS Pal. lat. 1979,,
3229,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,L,,B
3230,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,P,,E
3231,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,D(F),,
3232,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,N,,H
3233,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,C,,
3234,Casale Monferrato,I-CMac,Archivio Capitolare di Casale Monferrato,G,,
3236,Dover,GB-DOV,East Kent Archives Centre,NR/JB 6,,
3580,Vienna,A-Wn,Österreichische Nationalbibliothek,Mus.Hs. 18825/1-4 Mus  ,,"Contratenor, Tenor"
3583,Vienna,A-Wn,Österreichische Nationalbibliothek,Mus.Hs. 18832/1-2 Mus  ,,Lower Voice
3584,Vienna,A-Wn,Österreichische Nationalbibliothek,Mus.Hs. 15941 Mus ,,T
3586,Vienna,A-Wn,Österreichische Nationalbibliothek,Mus.Hs.18746 Mus ,,Altus/Contratenor
3591,Urbino,I-URp,Palazzo Ducale,unknown shelfmark,,
3593,Canterbury,GB-CA,Cathedral Archives,Add. Ms. 128/2,,
3595,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,B. 212 ,,A
3596,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,B. 213 ,,T
3597,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,B. 214 ,,B
3598,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,B. 215 ,,Q
3667,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,A.R. 774 A,,
3668,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,A.R. 774 T,,
3669,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,A.R. 774 B,,
3670,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,A.R. 774 Q,,
3671,Regensburg,D-Rp,Bischöfliche Zentralbibliothek,A.R. 774 S,,
3695,Mantua,I-MAc,Biblioteca Comunale Teresiana,ms. 518,,
3696,Verona,I-VEc,Biblioteca Capitolare di Verona,"Parchment bifolio without shelfmark; ""Cpp""",,
3781,Fairford,GB-F,Parish Church of St Mary,East Window,,
3782,Moudon,CH-MOUac,Archives communales,music fragment,,
3783,"Cambridge, Mass.",US-HAhl,Harvard University Houghton Library,MS Lat 420,,
3784,Cambridge,GB-Cu,University Library,Kk.vi.30,,
3788,Melk,A-M,Bibliothek des Benediktinerstifts,MS 940,,
3798,Coimbra,P-Cug,Biblioteca Geral da Universidade,MM.6,,
3801,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 6,,
3802,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 8,,
3803,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 9,,
3804,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 13,,
3805,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 14,,
3806,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 15,,
3807,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 16,,
3808,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 17,,
3809,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 18,,
3812,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 23,,
3813,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 24,,
3814,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 25,,
3816,Augsburg,D-As,Staats- und Stadtbibliothek,Tonkunst Schletterer 49,,
3819,Augsburg,D-As,Staats- und Stadtbibliothek,MS 4º Cod. Mus. 1,,
3822,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.22,,
3831,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.56,,
3832,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.57,,
3833,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.58,,
3835,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 12,,
3836,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 14,,
3837,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 15,,
3838,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 17,,
3839,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 18,,
3840,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 19,,
3841,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 20,,
3842,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,Ms Musica folio I 21,,
3843,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 47,,
3844,Stuttgart,D-Stuttg,Württembergische Landesbibliothek,MS Musica folio I 48,,
3853,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.63 Altus,,
3854,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.63 Tenor,,
3855,Basel,CH-Bu,Öffentliche Bibliotek der Universität,MS F.IX.63 Bassus,,
3856,Basel,CH-Bu,Öffentliche Bibliotek der Universität,kk.II.32,,
3861,Philadelphia,US-PHf,Free Library,Lewis T658,,
3891,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 19822,,
3892,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 30,,
3894,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 28,,
3895,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 27,,
3896,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 68,,
3897,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 76,,
3898,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 77,,
3900,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 78,,
3901,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 79,,
3902,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 82,,
3903,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 89,,
3904,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm 29775-8,,
3905,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS A,,
3906,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 511,,
3907,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 515,,
3908,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 518,,
3910,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2744,,
3911,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2745,,
3912,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2746,,
3913,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2747,,
3914,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2748,,
3915,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2749,,
3916,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2750,,
3917,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2751,,
3918,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 2757,,
3921,Munich,D-Mbs,Bayerische Staatsbibliothek,2 Mus. pr. 18,,
3922,Munich,D-Mbs,Bayerische Staatsbibliothek,2 Mus. pr. 30,,
3923,Munich,D-Mbs,Bayerische Staatsbibliothek,2 Mus. pr. 1286,,
3924,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm 29775-6,,
3925,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm 29775-7,,
3926,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm 29775-10,,
3927,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 91,,
3928,Munich,D-Mbs,Bayerische Staatsbibliothek,Mus. MS 17198,,
3933,Bergamo,I-BGs,Biblioteca del Seminario Vescovile,7,,
3935,Cambrai,F-CA,Mediathèque Municipale,MS 32,,
3936,Würzburg,D-WÜf,Franziskanerkloster,"Cod. I,10",,
3938,Arras,F-AS,Bibliothèque Municipale,MS 5 (cat. 19),,
3940,Reims,F-RSm,Bibliothèque municipale,Ms 420 (E. 316),,
3946,Barcelona,E-Bbc,Biblioteca Nacional de Catalunya/Biblioteca Central,MS 971b,,
3966,Palma de Mallorca,E-PAc,Archivo Capitular,MS 24,,
3982,Brussels,B-Br,Bibliothèque Royal Albert 1er/Koninklijke Bibliotheek Albert I,MS IV.421,,
3983,Brussels,B-Br,Bibliothèque Royal Albert 1er/Koninklijke Bibliotheek Albert I,Ms. 9786-9790,,
3984,Bruges,B-BRsa,Stadsarchief,"538, Muziekfragmenten 87-96",,
3985,Bruges,B-BRsa,Stadsarchief,"539, 41",,
3987,Gent (Ghent),B-Gs,Dienst StaFosses-la-Villedsarcheologie en Stadsarchief,SBW 93-4/156,,
3988,Jambes,B-J,"Direction des Fouilles de la Région Wallonne, ardoisse ave portés musicales de Fosses-la-Ville",Fos 52/8,,
3989,Liège,B-Lu,Bibliothèque de l'Université,Ms. 78,,
3990,Leuven (Louvain),B-LVhuybens,Private collection of G. Huybens,s.s.,,
3991,Leuven (Louvain),B-LEu,Universiteitsbibliotheek (bibliotheek der Katholieke Universiteit te Leuven),"Theologie, 3049H",,
3993,Oudenaarde,B-OU,Sint-Walburga,50a,,
3994,Sint-Truiden,B-STolv,Onze-Lieve-Vrouw,21,,
3995,Sint-Truiden,B-STolv,Onze-Lieve-Vrouw,35,,
3996,Tildonk,B-TILsnellings,Private collection of D Snellings,s.s.,,
3997,Tongeren,B-TOsa,Stadtsarchief,"fonds Rijksarchief Hasselt, Onze-Lieve-Vrouw, 514",,
3999,Tongeren,B-TOsa,Stadtsarchief,"fonds Rijksarchief Hasselt, Sint-Niklaas s.s.",,
4002,Tongeren,B-TOo,Onze-Lieve-Vrouw,XXI [LOST],,
4003,Amsterdam,NL-Au,Universiteitsbibliotheek,Ms. ES 64,,
4005,IJsselstijn,NL-IJooyevaar,Private collecton of R J Ooyevaar,"38, F66-449",,
4006,Utrecht,NL-Uu,Universiteitsbibliotheek,Hs. AA-fol-28 rariora,,
4017,Brno,CZ-Bam,Archiv města Brna,"fond V 2 Svatojakubská knihovna, sign. 15/4",,
4021,Munich,D-Mbs,Bayerische Staatsbibliothek,Clm. 14311,,
4023,Kassel,D-Kl,Universitätsbibliothek Kassel Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel,4° Ms. Mus. 142/4,Motetten. Vagans,
4026,Vendôme,F-VENbm,Bibliothèque Municipale du Parc Ronsard,MS 125,,
